id_venta,id_producto,cantidad,fecha,id_cliente
V007539,P0303,5,2021-07-30,C0197
V007418,P0230,4,2024-03-15,C0192
V002273,P0360,1,2020-10-11,C0262
V003067,P0588,1,2021-11-01,C0159
V004092,P0228,6,2023-04-27,C0007
V000919,P0351,5,2023-03-18,C0270
V005919,P0257,7,2021-05-27,C0132
V004041,P0477,4,2022-02-01,C0154
V002734,P0261,2,2024-02-27,C0226
V002874,P0449,1,2021-11-21,C0075
V002259,P0015,5,2021-07-09,C0070
V004266,P0158,4,2020-04-07,C0269
V005938,P0138,7,2023-12-06,C0037
V002463,P0150,6,2021-08-06,C0119
V003741,P0138,2,2021-06-11,C0047
V002067,P0121,4,2021-03-29,C0065
V002954,P0352,2,2020-04-23,C0053
V002223,P0208,5,2023-09-06,C0061
V003442,P0137,7,2022-06-11,C0060
V006461,P0018,2,2020-11-29,C0026
V006481,P0406,1,2021-06-22,C0279
V005881,P0421,2,2024-06-23,C0230
V003836,P0169,2,2024-01-19,C0113
V002299,P0121,4,2022-02-23,C0245
V001955,P0090,8,2021-03-23,C0181
V007081,P0411,6,2023-07-31,C0277
V002263,P0378,3,2020-11-20,C0088
V002602,P0457,8,2024-03-06,C0184
V003695,P0266,5,2023-09-16,C0125
V005763,P0010,1,2020-05-12,C0106
V005366,P0060,9,2020-05-13,C0222
V002768,P0153,3,2021-03-19,C0043
V001967,P0110,7,2021-02-02,C0186
V003634,P0406,6,2022-07-05,C0060
V005729,P0003,9,2020-02-18,C0049
V006843,P0247,6,2024-05-16,C0104
V004148,P0282,10,2022-03-05,C0297
V003083,P0403,6,2023-04-25,C0244
V007468,P0091,9,2023-12-03,C0178
V006053,P0432,8,2020-10-07,C0232
V003395,P0139,6,2021-12-20,C0150
V003065,P0193,3,2020-11-15,C0089
V005027,P0356,4,2020-06-17,C0248
V002359,P0188,2,2020-07-21,C0241
V000025,P0150,7,2023-09-02,C0075
V000763,P0398,4,2022-10-08,C0069
V007682,P0524,8,2022-02-10,C0247
V003648,P0259,5,2023-04-25,C0249
V000230,P0116,5,2023-09-20,C0299
V001368,P0475,8,2023-09-14,C0044
V003577,P0428,4,2021-07-31,C0027
V004480,P0021,2,2023-12-24,C0187
V003878,P0211,3,2024-06-30,C0109
V003764,P0283,7,2020-10-30,C0205
V004607,P0031,4,2023-03-02,C0131
V003549,P0318,9,2020-04-18,C0164
V003236,P0514,10,2022-10-06,C0227
V001507,P0289,4,2020-07-02,C0244
V005766,P0354,6,2022-08-03,C0190
V004710,P0341,3,2023-03-12,C0038
V007442,P0087,7,2023-01-18,C0045
V000099,P0242,1,2024-06-07,C0181
V000837,P0253,5,2020-10-07,C0291
V004359,P0590,7,2023-01-18,C0086
V000726,P0108,2,2024-02-05,C0283
V003631,P0169,10,2024-05-22,C0088
V001543,P0524,3,2022-07-12,C0185
V004094,P0458,1,2022-09-14,C0092
V005811,P0089,7,2020-11-24,C0144
V007485,P0474,6,2021-05-03,C0223
V006015,P0278,10,2022-03-25,C0127
V004819,P0509,10,2022-09-27,C0243
V003063,P0036,4,2020-04-05,C0148
V001489,P0398,9,2021-09-02,C0033
V005173,P0597,9,2023-09-07,C0096
V000097,P0395,9,2022-08-30,C0279
V007235,P0589,9,2020-11-10,C0167
V007761,P0347,10,2024-02-29,C0106
V005327,P0259,7,2023-12-08,C0089
V000976,P0224,4,2022-09-12,C0184
V004431,P0369,9,2023-09-02,C0060
V000368,P0372,9,2020-11-04,C0109
V000242,P0486,2,2022-06-13,C0251
V003205,P0092,7,2023-01-23,C0295
V006924,P0037,8,2021-12-22,C0226
V007541,P0440,8,2023-09-05,C0264
V001740,P0310,7,2022-10-25,C0195
V007618,P0360,3,2020-10-12,C0213
V002627,P0326,3,2022-02-25,C0099
V005847,P0352,3,2022-09-19,C0030
V007084,P0480,2,2023-04-23,C0251
V007787,P0254,7,2020-08-28,C0148
V006503,P0091,1,2024-03-10,C0278
V000925,P0323,3,2022-08-07,C0076
V000230,P0316,6,2023-09-20,C0299
V002314,P0417,3,2022-02-01,C0211
V007427,P0210,9,2021-05-23,C0049
V006478,P0029,7,2022-12-27,C0138
V002519,P0100,2,2020-02-16,C0078
V006105,P0508,1,2022-01-08,C0038
V006089,P0479,5,2023-04-06,C0260
V001707,P0210,7,2022-12-05,C0209
V000644,P0364,10,2021-08-03,C0038
V003212,P0077,4,2022-06-26,C0188
V007046,P0320,2,2023-10-19,C0279
V001671,P0278,10,2021-06-07,C0009
V001600,P0006,8,2023-07-19,C0035
V000396,P0542,6,2022-11-22,C0079
V003945,P0046,2,2022-01-21,C0132
V003842,P0215,3,2023-02-07,C0071
V003220,P0278,2,2022-12-04,C0002
V003982,P0077,8,2022-01-12,C0003
V005163,P0418,7,2023-05-26,C0234
V005917,P0493,10,2023-02-04,C0158
V005369,P0226,5,2021-06-21,C0282
V005857,P0417,3,2023-08-07,C0032
V005909,P0138,3,2022-07-02,C0032
V004304,P0471,9,2023-12-16,C0140
V003737,P0598,9,2022-04-15,C0004
V007378,P0403,7,2024-03-15,C0150
V000920,P0036,7,2021-11-27,C0185
V007073,P0158,10,2020-04-08,C0138
V002916,P0401,4,2020-08-13,C0283
V005550,P0452,6,2022-03-24,C0050
V001060,P0058,9,2023-07-19,C0142
V001477,P0564,3,2023-07-13,C0145
V000157,P0247,10,2021-03-10,C0104
V003404,P0299,10,2023-01-23,C0276
V002262,P0296,7,2021-02-26,C0223
V003131,P0029,4,2022-01-02,C0174
V005597,P0281,7,2022-05-04,C0282
V002330,P0413,4,2021-03-09,C0166
V000013,P0239,1,2023-08-28,C0003
V004480,P0347,6,2023-12-24,C0187
V007336,P0286,10,2020-07-15,C0134
V002580,P0232,6,2023-03-14,C0003
V001716,P0551,5,2023-08-07,C0106
V000811,P0531,4,2022-01-27,C0264
V005204,P0574,3,2024-01-14,C0017
V007303,P0013,5,2023-07-16,C0065
V001742,P0465,3,2022-06-08,C0222
V006504,P0010,6,2023-07-02,C0099
V004391,P0297,5,2021-01-21,C0137
V004125,P0442,1,2020-01-29,C0264
V001121,P0133,2,2023-01-10,C0148
V005628,P0013,9,2021-06-01,C0092
V004353,P0283,5,2021-11-15,C0269
V003451,P0001,4,2021-06-17,C0178
V005309,P0101,10,2022-09-30,C0070
V007718,P0180,4,2020-09-14,C0132
V005638,P0061,3,2023-06-15,C0210
V002910,P0489,10,2020-06-19,C0001
V004855,P0040,10,2020-11-28,C0234
V003524,P0415,8,2020-06-19,C0036
V004692,P0208,5,2023-02-22,C0276
V003995,P0136,8,2022-06-10,C0048
V002924,P0305,7,2023-12-27,C0007
V005900,P0359,3,2022-12-15,C0214
V002295,P0056,3,2023-07-22,C0229
V002663,P0194,4,2021-09-10,C0143
V003479,P0221,4,2020-04-15,C0164
V001475,P0211,1,2022-01-11,C0041
V001593,P0455,8,2022-06-26,C0009
V004109,P0087,7,2023-08-28,C0082
V002868,P0151,7,2021-11-18,C0011
V003836,P0099,9,2024-01-19,C0113
V005444,P0495,5,2024-06-28,C0069
V006781,P0270,1,2021-06-02,C0200
V004752,P0416,1,2022-08-15,C0060
V006686,P0381,1,2023-11-03,C0046
V001224,P0115,2,2021-08-25,C0092
V006673,P0127,5,2024-02-20,C0065
V005771,P0437,9,2022-04-19,C0185
V007634,P0149,6,2022-11-26,C0297
V003649,P0282,7,2023-09-10,C0226
V006495,P0385,9,2023-01-07,C0126
V000521,P0491,8,2023-10-10,C0203
V000978,P0078,6,2020-11-08,C0173
V003669,P0273,5,2024-05-06,C0125
V002745,P0316,6,2023-12-22,C0096
V002186,P0588,2,2023-01-19,C0106
V001147,P0592,6,2021-12-22,C0153
V000732,P0477,5,2022-06-09,C0138
V003367,P0081,7,2020-12-02,C0216
V006645,P0161,10,2023-05-10,C0134
V003726,P0269,9,2022-11-15,C0059
V000408,P0395,1,2020-05-09,C0243
V001046,P0165,5,2023-02-01,C0160
V004090,P0012,3,2024-06-29,C0212
V006587,P0314,10,2022-03-19,C0050
V001830,P0286,2,2020-01-25,C0165
V003322,P0100,3,2021-11-17,C0056
V004415,P0097,10,2020-01-14,C0276
V001954,P0391,5,2022-03-07,C0033
V000407,P0097,10,2023-11-30,C0223
V000341,P0402,8,2021-08-22,C0004
V004128,P0581,6,2020-10-14,C0247
V005814,P0191,4,2021-10-28,C0076
V005390,P0102,5,2022-12-18,C0030
V002940,P0376,1,2022-10-18,C0117
V003227,P0343,5,2022-03-29,C0071
V007426,P0514,5,2023-05-06,C0133
V002713,P0483,8,2024-06-09,C0117
V005736,P0191,4,2021-09-10,C0152
V000619,P0407,10,2021-06-01,C0229
V005501,P0155,1,2024-04-14,C0187
V000787,P0064,5,2020-07-28,C0255
V000838,P0589,9,2021-11-10,C0195
V001070,P0501,1,2024-06-03,C0251
V006494,P0521,1,2024-04-27,C0163
V005066,P0147,1,2021-04-25,C0048
V002855,P0110,5,2020-06-23,C0031
V000601,P0504,10,2024-05-23,C0282
V002982,P0303,8,2023-11-02,C0161
V002807,P0544,10,2023-05-07,C0099
V000623,P0469,7,2023-12-04,C0120
V005183,P0410,7,2020-01-15,C0250
V000023,P0415,5,2021-04-08,C0245
V004142,P0232,6,2021-06-16,C0251
V002409,P0057,3,2024-03-03,C0039
V000004,P0082,2,2022-04-23,C0026
V003238,P0401,3,2022-06-19,C0112
V006508,P0257,1,2023-07-03,C0265
V007821,P0335,4,2023-01-20,C0038
V005628,P0450,9,2021-06-01,C0092
V002368,P0515,9,2020-09-16,C0240
V005230,P0292,3,2021-07-22,C0059
V003274,P0398,5,2022-04-01,C0275
V007476,P0236,7,2021-06-11,C0033
V001128,P0503,5,2023-12-01,C0226
V005165,P0078,9,2020-11-17,C0246
V000645,P0411,5,2023-07-08,C0237
V001638,P0481,2,2020-03-06,C0218
V006775,P0345,3,2021-10-03,C0279
V002855,P0445,7,2020-06-23,C0031
V005130,P0264,4,2024-02-03,C0182
V002522,P0544,6,2020-10-07,C0048
V007016,P0558,4,2024-04-20,C0277
V003914,P0224,3,2020-08-05,C0139
V005184,P0233,5,2024-02-24,C0116
V004374,P0578,3,2020-11-09,C0216
V002379,P0135,10,2023-12-18,C0165
V002803,P0150,4,2022-09-14,C0114
V003933,P0209,9,2020-07-27,C0003
V002955,P0382,3,2024-05-12,C0291
V002390,P0455,5,2022-11-05,C0227
V007076,P0485,8,2023-08-25,C0212
V004220,P0573,7,2023-08-28,C0240
V002191,P0161,6,2023-02-11,C0205
V002735,P0378,5,2023-03-22,C0281
V005416,P0335,1,2022-05-26,C0082
V003914,P0555,1,2020-08-05,C0139
V002472,P0426,7,2023-08-04,C0022
V004356,P0411,7,2020-07-25,C0197
V006824,P0112,6,2021-11-15,C0005
V004869,P0289,4,2020-01-31,C0240
V001449,P0406,7,2021-12-28,C0050
V000630,P0533,6,2022-06-27,C0059
V007320,P0452,8,2020-05-24,C0138
V006058,P0254,3,2021-10-01,C0152
V006273,P0103,3,2023-10-04,C0078
V001535,P0399,8,2024-03-04,C0065
V006919,P0436,10,2024-01-27,C0244
V000334,P0016,7,2020-11-16,C0119
V005815,P0499,10,2021-05-09,C0072
V003674,P0385,1,2021-06-12,C0089
V000246,P0036,7,2021-07-25,C0036
V006081,P0188,2,2022-03-04,C0276
V005634,P0263,8,2021-09-01,C0283
V006311,P0213,5,2020-02-07,C0090
V007673,P0102,7,2021-12-20,C0300
V005825,P0138,7,2021-01-02,C0277
V001116,P0597,9,2023-08-05,C0260
V003911,P0333,4,2021-02-02,C0270
V006775,P0205,4,2021-10-03,C0279
V004751,P0137,9,2020-07-04,C0161
V002496,P0232,9,2023-10-29,C0042
V002439,P0010,5,2021-07-26,C0228
V004486,P0056,10,2022-03-20,C0271
V000151,P0024,9,2023-06-21,C0245
V002714,P0317,8,2021-05-28,C0015
V007870,P0081,3,2024-04-05,C0045
V003225,P0594,3,2021-12-19,C0122
V002804,P0513,3,2022-07-31,C0031
V003589,P0360,2,2022-04-11,C0129
V000611,P0578,8,2021-02-02,C0028
V002982,P0090,2,2023-11-02,C0161
V007296,P0025,5,2024-02-05,C0113
V005846,P0208,9,2020-12-03,C0099
V001696,P0514,10,2023-03-30,C0152
V000511,P0066,4,2023-02-08,C0133
V003992,P0043,9,2021-09-23,C0036
V003534,P0154,6,2020-08-19,C0210
V006031,P0588,1,2023-04-02,C0041
V007674,P0269,9,2021-02-20,C0243
V001946,P0485,4,2021-12-08,C0070
V006162,P0112,3,2021-03-11,C0093
V004067,P0273,5,2021-11-01,C0167
V004680,P0289,2,2021-02-06,C0131
V003735,P0325,5,2021-09-26,C0168
V001131,P0245,6,2022-07-25,C0270
V007509,P0460,10,2020-05-31,C0275
V004631,P0413,5,2020-02-21,C0109
V001228,P0161,8,2021-07-27,C0092
V003843,P0388,6,2020-01-24,C0042
V005807,P0570,1,2022-07-04,C0238
V005326,P0287,7,2022-03-09,C0214
V006000,P0111,1,2020-02-06,C0059
V003798,P0518,10,2020-01-02,C0154
V006719,P0411,8,2021-08-12,C0247
V001724,P0581,3,2024-01-18,C0021
V007842,P0394,6,2020-09-09,C0139
V007993,P0043,1,2021-06-19,C0017
V000735,P0526,2,2021-02-24,C0184
V000112,P0369,9,2023-09-20,C0264
V004073,P0209,10,2022-08-05,C0294
V001124,P0075,10,2020-07-23,C0244
V004648,P0443,3,2021-06-28,C0263
V004196,P0043,3,2023-10-02,C0031
V005062,P0469,10,2023-09-19,C0168
V000936,P0247,9,2024-04-28,C0030
V005544,P0318,8,2022-05-20,C0199
V000165,P0508,6,2024-04-18,C0260
V006873,P0147,1,2023-03-31,C0035
V007015,P0450,5,2024-02-15,C0081
V002726,P0244,5,2022-04-10,C0099
V006266,P0334,10,2020-11-12,C0161
V003342,P0340,5,2023-03-24,C0192
V005131,P0501,4,2022-04-19,C0228
V000060,P0196,8,2022-05-12,C0291
V006216,P0554,1,2020-09-22,C0092
V002957,P0279,6,2020-10-23,C0021
V007114,P0196,3,2020-07-04,C0071
V005516,P0336,10,2023-03-12,C0190
V004271,P0342,9,2022-11-01,C0164
V006552,P0356,10,2020-04-09,C0086
V007642,P0142,6,2020-01-13,C0140
V000515,P0147,4,2020-05-05,C0160
V004441,P0300,6,2020-03-12,C0073
V004756,P0425,8,2023-01-24,C0033
V000846,P0024,7,2024-04-27,C0007
V004800,P0364,1,2020-11-30,C0154
V005897,P0177,10,2023-04-04,C0246
V005207,P0343,7,2020-09-21,C0192
V007853,P0402,10,2021-03-18,C0199
V000995,P0373,1,2022-01-01,C0027
V001570,P0071,8,2024-05-24,C0022
V006536,P0526,8,2020-04-16,C0154
V000397,P0329,2,2024-05-25,C0138
V003842,P0160,3,2023-02-07,C0071
V006437,P0185,2,2021-02-01,C0220
V006323,P0182,10,2021-10-14,C0210
V007047,P0025,9,2023-05-15,C0084
V002956,P0544,7,2020-08-08,C0163
V005011,P0266,5,2022-09-22,C0113
V000538,P0349,9,2023-05-25,C0182
V001921,P0536,2,2020-06-12,C0074
V005860,P0556,4,2022-03-05,C0277
V004273,P0014,5,2023-01-16,C0109
V003236,P0145,2,2022-10-06,C0227
V001742,P0425,2,2022-06-08,C0222
V000995,P0101,7,2022-01-01,C0027
V007429,P0077,7,2021-11-12,C0054
V000257,P0324,3,2023-11-06,C0092
V003979,P0173,2,2022-06-04,C0190
V001416,P0009,4,2023-02-24,C0174
V001466,P0065,4,2021-02-15,C0299
V001639,P0526,1,2024-01-12,C0294
V001532,P0330,3,2020-11-24,C0152
V005392,P0002,3,2023-09-23,C0216
V000245,P0143,3,2020-11-21,C0188
V000509,P0562,8,2022-01-26,C0217
V000898,P0043,8,2021-11-10,C0214
V006327,P0526,2,2022-10-06,C0053
V002392,P0064,10,2023-10-29,C0139
V006947,P0263,3,2020-01-31,C0238
V005451,P0338,6,2022-05-03,C0213
V002011,P0338,5,2023-12-15,C0212
V005589,P0522,6,2021-08-10,C0033
V001331,P0236,4,2021-02-01,C0248
V007259,P0147,7,2022-11-10,C0197
V000503,P0182,6,2021-12-23,C0294
V007820,P0159,2,2023-08-20,C0241
V007331,P0392,7,2022-03-21,C0173
V006288,P0203,3,2020-11-17,C0069
V003137,P0432,2,2022-03-30,C0192
V004693,P0171,3,2022-04-15,C0255
V003319,P0022,5,2024-01-09,C0208
V000846,P0002,1,2024-04-27,C0007
V007935,P0016,1,2022-10-19,C0297
V000736,P0091,10,2023-03-03,C0197
V004909,P0121,10,2023-11-09,C0002
V005491,P0504,4,2023-09-01,C0033
V006962,P0570,9,2022-06-13,C0213
V005247,P0509,3,2020-02-18,C0022
V006192,P0170,8,2021-08-21,C0088
V001843,P0066,3,2022-09-25,C0137
V006778,P0321,9,2020-07-23,C0286
V005154,P0039,6,2022-06-26,C0001
V005650,P0425,10,2022-07-06,C0117
V007383,P0332,9,2023-06-22,C0162
V007960,P0561,1,2021-02-17,C0228
V001600,P0241,6,2023-07-19,C0035
V006974,P0029,1,2022-09-22,C0109
V007134,P0326,7,2022-09-29,C0071
V002716,P0317,9,2020-10-19,C0156
V007896,P0333,9,2021-06-12,C0026
V004317,P0093,4,2023-03-05,C0261
V007031,P0574,6,2022-01-07,C0025
V007175,P0407,5,2021-12-17,C0227
V007154,P0524,10,2021-09-17,C0067
V000110,P0288,3,2021-09-09,C0250
V003526,P0040,1,2021-04-22,C0220
V005154,P0560,8,2022-06-26,C0001
V007785,P0496,6,2023-10-17,C0009
V007767,P0539,7,2023-04-28,C0074
V001318,P0092,10,2023-05-26,C0160
V001851,P0062,7,2020-03-19,C0137
V001982,P0253,2,2023-09-03,C0281
V005889,P0512,7,2022-04-27,C0138
V002195,P0291,10,2021-10-21,C0249
V001549,P0504,1,2023-10-18,C0054
V002203,P0376,8,2020-12-10,C0003
V005879,P0495,5,2023-10-16,C0150
V001490,P0586,5,2024-01-29,C0159
V003034,P0096,9,2023-03-19,C0188
V002791,P0443,8,2021-06-06,C0147
V003353,P0422,7,2022-10-16,C0262
V005603,P0345,8,2021-04-25,C0106
V000559,P0510,4,2020-08-15,C0224
V002168,P0104,1,2022-01-30,C0134
V005234,P0316,5,2020-03-13,C0226
V007185,P0205,4,2020-03-12,C0005
V004307,P0076,8,2020-12-10,C0188
V001682,P0030,4,2021-11-04,C0021
V007723,P0076,1,2020-04-24,C0300
V004551,P0531,5,2023-09-10,C0112
V003489,P0283,1,2020-06-05,C0051
V002810,P0245,8,2021-04-20,C0046
V006398,P0224,7,2023-06-03,C0267
V001946,P0110,7,2021-12-08,C0070
V002305,P0053,1,2023-01-31,C0262
V000555,P0018,8,2023-09-05,C0057
V002903,P0251,9,2023-12-22,C0084
V004471,P0142,4,2020-03-02,C0215
V004865,P0367,2,2022-12-01,C0126
V007466,P0560,6,2024-02-13,C0281
V005523,P0258,1,2024-04-21,C0106
V000934,P0201,10,2023-05-19,C0132
V005356,P0037,4,2022-01-13,C0025
V006201,P0019,8,2021-04-30,C0017
V003111,P0196,1,2022-04-04,C0244
V000913,P0119,10,2020-06-28,C0213
V002869,P0559,3,2020-04-08,C0028
V001294,P0354,10,2022-10-11,C0060
V001610,P0349,10,2020-06-24,C0101
V007558,P0248,7,2021-03-30,C0278
V000386,P0159,7,2020-12-07,C0124
V001588,P0076,2,2022-10-05,C0028
V004409,P0123,7,2022-10-03,C0241
V007184,P0200,10,2021-08-24,C0184
V001734,P0244,6,2020-11-18,C0124
V002123,P0317,9,2020-09-08,C0007
V001287,P0539,7,2023-07-07,C0277
V003674,P0009,9,2021-06-12,C0089
V006766,P0135,3,2021-02-18,C0281
V000621,P0487,9,2020-06-21,C0015
V005548,P0434,9,2023-01-17,C0150
V001969,P0214,6,2023-12-15,C0240
V002683,P0135,10,2023-08-24,C0186
V007995,P0515,8,2020-04-27,C0164
V000970,P0552,5,2020-11-14,C0197
V003128,P0391,8,2021-12-18,C0197
V004836,P0526,9,2024-07-01,C0125
